,state,city,song,artist,uris
16,New Mexico,Albuquerque,Point Me in the Direction of Albuquerque,Tony Romeo,spotify:track:6aNmG709rGTVRRYsMqDwmb
17,New Mexico,Albuquerque,The Promised Land,Chuck Berry,spotify:track:4p6j060XRLr7XCeACQLSCe
18,New Mexico,Albuquerque,Train Kept A Rollin',Stray Cats,spotify:track:6KXWZSsrKUXPdfDCTElPoD
19,New Mexico,Albuquerque,Wanted Man,"Johnny Cash, Bob Dylan, Nick Cave",spotify:track:2dMkrhsWFVP2rHZmTEKkeh
20,Pennsylvania,Allentown,Allentown,Billy Joel,spotify:track:59xhCcRskqyMtKzdvLZDfV
21,Pennsylvania,Allentown,Allentown Jail,Kingston Trio,spotify:track:1LIQZwJmz3ByvUYd5RkQhE
22,Texas,Amarillo,Amarillo,Gorillaz,spotify:track:6wmcBujtfEfVQr5kQPk7ZE
23,Texas,Amarillo,Amarillo,Emmylou Harris,spotify:track:6IhmShGqk3bTwOtMEyT8t6
24,Texas,Amarillo,Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv
25,Texas,Amarillo,If Hollywood Don't Need You (Honey I Still Do),Don Williams,spotify:track:6qRYfAO5O4z9ZDOlA59rjw
26,Texas,Amarillo,Is This the Way to Amarillo,Neil Sedaka and Howard Greenfield,spotify:track:358xKpDEPxwDqlHPadJoHk
27,Alaska,Anchorage,Anchorage,Michelle Shocked,spotify:track:2DCOZWKvk1y8WMNWBqclhl
28,Virginia,Arlington,Arlandria,Foo Fighters,spotify:track:5TOYgNohZAFEPOtnchPhZS
29,Virginia,Arlington,Arlington,Trace Adkins,spotify:track:1IdQeHmLig1Flat8nHkGo4
30,New Jersey,Asbury Park,"Fourth of July, Asbury Park (Sandy)  Bruce Springsteen",,error
31,New Jersey,Asbury Park,My City of Ruins,Bruce Springsteen,spotify:track:5A2wRK7ch9tg6k5iibUsgT
32,New Jersey,Atlantic City,Atlantic City,Bruce Springsteen,spotify:track:1Vp8U39YNsDfd6yVuaUq12
33,Texas,Austin,Amy's Back In Austin,Little Texas,spotify:track:03F9hwZMmzYxUyOSqwC2Bk
34,Texas,Austin,Austin,Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P
35,Texas,Austin,Austin in My Sights,The Bluescasters,spotify:track:5BUutiodaKSRQokkSo9lVE
36,Texas,Austin,Austin to Ashes,the Turnpike Troubadours,spotify:track:4ftdjgm9p4F7AYavGg2oAl
37,California,Avalon (Catalina Isl.),Avalon,Lionel Hampton,spotify:track:3AW4FDbBRJGzyo4lK5jbHs
38,California,Bakersfield,Bakersfield,Social Distortion,spotify:track:6an8qrOsqNuDouAxWMaFIj
39,California,Bakersfield,Mexicali Blues,Grateful Dead,spotify:track:3Feu20MBV8MREboccRzlj6
40,California,Bakersfield,Streets of Bakersfield,Dwight Yoakam,spotify:track:5B7f2auRhwkl5OjC2bQ58f
41,Maryland,Baltimore,Baltimore,The Extra Lens,spotify:track:39CyGKIFqMzSuynOR8uilD
42,Maryland,Baltimore,Baltimore,Lyle Lovett,spotify:track:3cPPSqS1lN6LO18LVOxeTA
43,Maryland,Baltimore,Baltimore,Mal Blum,spotify:track:5ryhQOjYXpX0rHfr4XlYJB
44,Maryland,Baltimore,Baltimore,Prince,spotify:track:2dp2JM92DMNoEwzdIpe7KO
45,Maryland,Baltimore,Baltimore,"Randy Newman, Nina Simone",spotify:track:39CyGKIFqMzSuynOR8uilD
46,Maryland,Baltimore,Baltimore,Sonny James,spotify:track:2LJXjPIez0NA2nzMXsx55M
47,Maryland,Baltimore,Baltimore's Fireflies,Woodkid,spotify:track:3QBdVIlkKnc6SGPpwyg3zm
48,Maryland,Baltimore,Barefoot in Baltimore,Strawberry Alarm Clock,spotify:track:7gxeDaqGLT33dkWSTAEOue
49,Maryland,Baltimore,Blue Skies Over Dundalk,Mary Prankster,spotify:track:1CbjJGSK1rL5OdW2gupOuB
50,Maryland,Baltimore,Engine Engine Number 9,Roger Miller,spotify:track:6lK456BDT6RBGIwniUR7vY
51,Maryland,Baltimore,The Girl From Baltimore,The Fleshtones,spotify:track:5G7UH4wKhl3qIXovTMp4zY
52,Maryland,Baltimore,Good Morning Baltimore,from Hairspray!,spotify:track:5HDLfQNN2AwAZWqzjDLxb5
53,Maryland,Baltimore,Heaven in Baltimore,Dale Watson,spotify:track:28Ahr7EFd2Pu8xM7e8DpD3
54,Maryland,Baltimore,Hungry Heart,Bruce Springsteen,spotify:track:1KsI8NEeAna8ZIdojI3FiT
55,Maryland,Baltimore,Moonlight Feels Right,Starbuck,spotify:track:7sfMjwBcAatrNH46rn1YsK
56,Maryland,Baltimore,Raining in Baltimore,Counting Crows,spotify:track:3RPvaTtA38cNsCNL7lXt4v
57,Maryland,Baltimore,Streets of Baltimore,Bob Bare,spotify:track:3kDSSR6noFrYJBxijqEVm3
58,Maryland,Baltimore,Willie Jones,the Charlie Daniels Band,spotify:track:3bC10NHwY64PV7lSBmjZ13
59,Maryland,Baltimore,Baltimore To Washington,Woody Guthrie & Cisco Houston,spotify:track:5disQl1XhN20HHeRjdoFY6
60,Maryland,Baltimore,The Lady Came from Baltimore,Tim Hardin,spotify:track:1iFaDWLmxvN5BA24zHmIon
61,Maryland,Baltimore,For Baltimore,All Time Low,spotify:track:6kYGBXtrbXtl1vcbmD1bWG
62,Maryland,Baltimore,The Star-Spangled Banner,Francis Scott Key,spotify:track:7FTRr86EMdtScGKOMaAj65
63,Maine,Bangor,King Of The Road,Roger Miller,spotify:track:3XG7bMVcMWLIn2k9jLAaAt
64,Louisiana,Baton Rouge,Calling Baton Rouge,Garth Brooks,spotify:track:0cC6tjzidyUPRnPBrQK39L
65,Texas,Beaumont,Beaumont,Hayes Carll,spotify:track:64c0o7We5e7rete26iTZS1
66,Texas,Beaumont,"Pretty Little Lady From Beaumont, Texas",George Jones,spotify:track:4cxLCVoNCjrMoaWhI1Ca4R
67,Texas,Beaumont,The Night's Too Long,Patty Loveless,spotify:track:274bEaJJYO3QSRQoFXY4OC
68,Louisiana,Bossier City,Bossier City,the Turnpike Troubadours,spotify:track:2qRGnY4zSNBu4tTql3pEnX
69,Texas,Brownsville,It's All Here in Brownsville,The Mountain Goats,spotify:track:3KxgLIxBqDwGgNN1knH4Xp
70,New York,Buffalo,Broadway,The Goo Goo Dolls,spotify:track:0RZuCBV900eNA2FXCQ3uUM
71,New York,Buffalo,Shuffle Off to Buffalo,The Stolen Sweets,spotify:track:3ol2v58i0bAfaNWejGXsYL
72,New York,Buffalo,Ladies Night in Buffalo,David Lee Roth,error
73,New York,Buffalo,Rock and Roll Girls  John Fogarty,,spotify:track:5DeuAlTIDflXOomztXYM5D
74,South Carolina,Charleston,Carolina,Corey Smith,spotify:track:5ZSS2XXNiVJcIApl6N2UTl
75,South Carolina,Charleston,Holy City,Edwin McCain,spotify:track:0ZqQrGR2HDyoHWRxoucsDp
76,South Carolina,Charleston,You Can Have Charleston,Darius Rucker,spotify:track:1GETqk7etM1hnULgu1mNWZ
77,North Carolina,Charlotte,Gridiron Fight,(about the Panthers)  Paper Tongues,spotify:track:7fVmvYWkC58ZHP8kEtCffP
78,North Carolina,Charlotte,In Charlotte,Young Dolph,spotify:track:7Kuwf6FXqzrIa8Uhu80kL4
79,North Carolina,Charlotte,Brick,Ben Folds Five,spotify:track:4jKq1e80xAYixkIwt6YyV1
80,Tennessee,Chattanooga,The Chattanooga Shoot Shoot,Darren Hanlon,spotify:track:4JkfKSqbMtUsO4iWEiPCzz
81,Tennessee,Chattanooga,Chattanooga Sugar Babe,Johnny Cash,spotify:track:5UZX9KB0fMzaQ50tbk0oJb
82,Tennessee,Chattanooga,Chattanooga Choo Choo,"The Andrews Sisters, Glenn Miller",spotify:track:7a5VuzvBrtbqYT7kNlQlFd
83,Wyoming,Cheyenne,I Can Still Make Cheyenne,George Strait,spotify:track:7yQMZQeiSKnvEgimeGPVhi
84,Ohio,Cincinnati,Comin' to Your City,Big & Rich,spotify:track:56EYmR9IrFKKYdygcKXrvH
85,Ohio,Cincinnati,Fins,Jimmy Buffett,spotify:track:4h0gZ422QxBRdTV14u0P8y
86,Ohio,Cincinnati,"Jesus, Take the Wheel",Carrie Underwood,spotify:track:3lec3CzDPAxsZokPph5w87
87,Ohio,Cincinnati,Lights of Cincinnati,Scott Walker,spotify:track:67RZCbmnEnwsRkO7f6CVcu
88,Ohio,Cleveland,Anything But Mine,Kenny Chesney,spotify:track:36mCPzCbnDVSfvh5KHGutc
89,Ohio,Cleveland,Burn On,Randy Newman,spotify:track:4eVrvgT94P8WukADoh6E2P
90,Ohio,Cleveland,Christmas in Cleveland,The Raveonettes,spotify:track:34rgy1acmu97CNh5hi2ShG
91,Ohio,Cleveland,Cleveland,Jewel,spotify:track:1RiEHOeP2cdapypg39IMBr
92,Ohio,Cleveland,Cleveland is the City,Bone Thugs-N-Harmony,spotify:track:7hKrrDmrFyjPFg8A9GHNyT
93,Ohio,Cleveland,Cleveland,All-Time Quarterback,spotify:track:6HPqL1PrPMzCBvFh0UzFf3
94,Ohio,Cleveland,Cleveland,Machine Gun Kelly,spotify:track:177SDvvczaQbTb32hX9dGm
95,Ohio,Cleveland,Cleveland is the Reason,Kid Cudi,error
96,Ohio,Cleveland,Cleveland Ohio Blues,Bull Moose Jackson,spotify:track:2v89oXCsOuBmZcrrjjskLZ
97,Ohio,Cleveland,Cleveland Rocks,Ian Hunter,spotify:track:5FBIJ3i1CWaZLf1VTNIh7B
98,Ohio,Cleveland,Cuyahoga,REM,spotify:track:62BwRNlV4Xpel5ssYVLs56
99,Ohio,Cleveland,East 1999,Bone Thugs-N-Harmony,spotify:track:55RXcZ0Mpwt97vj2Angnn1
100,Ohio,Cleveland,In the Heartland,the Michael Stanley Band,spotify:track:5v1uTDwk4E70I4NBB6ARk4
101,Ohio,Cleveland,Let's Get Wrecked,honeyhoney,spotify:track:17zjFQ422j8eYnXZKKecq7
102,Ohio,Cleveland,Let's Move to Cleveland,Frank Zappa,spotify:track:2rJbB8GqSGIsuYPJZcHbFN
103,Ohio,Cleveland,"Look Out, Cleveland",The Band,spotify:track:5V8dAhVh2tTw8Dvaf7I7NG
104,Ohio,Cleveland,Mean Night in Cleveland,Cactus,spotify:track:0Wq6nBQhcHOQGjjEYa9ilW
105,Ohio,Cleveland,Missing Cleveland,Scott Weiland,spotify:track:1DllSr1QGkvGHhyHEnKsBt
106,Ohio,Cleveland,My Town,Michael Stanley Band,spotify:track:3zh6c0CVMcBdIdXfN5wDLM
107,Ohio,Cleveland,Ohio (Come Back to Texas),Bowling for Soup,spotify:track:4COleG16xBCkpofKHsJU2p
108,Ohio,Cleveland,Pancho and Lefty,"Townes Van Zandt, covered  Willie Nelson and Merle Haggard",spotify:track:2hckAvL66faAcR0Fk64hj6
109,Ohio,Cleveland,Precious,The Pretenders,spotify:track:5JPVMGYrYNhTJhWwHJzTMH
110,Ohio,Cleveland,Skinny Little Boy from Cleveland,Alex Bevan,error
111,Ohio,Cleveland,Stairway To Cleveland,Jefferson Starship,spotify:track:53jGqXa8YCTmJ6O6kODo4z
112,Ohio,Cleveland,Till I Die,Machine Gun Kelly,spotify:track:7rq7HvZrCie7MmiGm8pUVC
113,Idaho,Coeur d'Alene,All I Left Behind,Linda Ronstadt and Emmylou Harris,spotify:track:7bNWLWxLncAIaCO4fvyK9a
114,Idaho,Coeur d'Alene,Coeur d'Alene,The Head and the Heart,spotify:track:0Flo48Y9PgdexredGUdmgR
115,Idaho,Coeur d'Alene,Coeur d'Alene,Alter Bridge,spotify:track:6OsKc3UODc9IKokU2fKPnu
116,Idaho,Coeur d'Alene,Coeur d'Alene,Tyson Motsenbocker,spotify:track:52CPqvgFVhi19Yi0YseG7q
117,Ohio,Columbus,Road Outside Columbus,O.A.R.,spotify:track:5OGFUn7cXHkiiDi4BEwgsi
118,Colorado,Commerce City,Commerce City Sister,DeVotchKa,spotify:track:6kVvIWLnWH1MgF4BIIPiwn
119,Colorado,Cripple Creek,Up On Cripple Creek,The Band,spotify:track:60VcYHxoyOdZyFb1EaKJdN
120,Texas,Dallas,Big D,from The Most Happy Fella,spotify:track:2evXGSoy9RQUvdtYWGFq0f
121,Texas,Dallas,Dallas,Alan Jackson,spotify:track:6IX9AJCSNoYfnp3kw1wU7K
122,Texas,Dallas,Dallas,The Flatlanders,spotify:track:72ZCJnJ62wQCGc1OExu2E2
123,Texas,Dallas,Dallas,Holly McNarland,spotify:track:5eisckZNCewlWSBMMJNR4E
124,Texas,Dallas,Dallas,Silver Jews,spotify:track:2oMrFxXxxpqSpMldwEeU8g
125,Texas,Dallas,Dallas,Johnny Winter,spotify:track:7MaOSiOEtfY7dF2TEjmDTG
126,Texas,Dallas,Dallas 1pm,Saxon,spotify:track:5LbSYBg95bl4Yup6CWCRay
127,Texas,Dallas,Dallas After Midnight,Ray Wylie Hubbard (with Jack Ingram),spotify:track:5ywltcGIw8D8IaDmIOpcrG
128,Texas,Dallas,Goin Through The Big D,Mark Chesnutt,spotify:track:4s6Q9zPmiYcpo5MR7uoVnt
129,Texas,Dallas,He's in Dallas,- Reba McEntire,spotify:track:5GebQ5Ymk6YV7uGQQAvtZ0
130,Texas,Dallas,Hot Night in Dallas,Moon Martin,spotify:track:3dRS94HPc97H8Tm9v0BOMi
131,Texas,Dallas,I Drove Her To Dallas,Ty England,spotify:track:7kbEbWHFLevRponZaXN4B1
132,Texas,Dallas,People In Dallas Got Hair,Waylon Jennings,spotify:track:5BoHdxkWOEPeXM8Jr5apYB
133,Texas,Dallas,Run,George Strait,spotify:track:1EXMjx4nCIvYTaY5CZMUSl
134,Texas,Dallas,Truckin',Grateful Dead,spotify:track:1I6l01BaBgBCVkfQCpIlR6
135,Texas,Dallas,Trudy,the Charlie Daniels Band,spotify:track:17sf02DzW9rvp2C6pgZk7n
136,Illinois,Decatur,"Decatur, or, Round of Applause for Your Stepmother!",Sufjan Stevens,spotify:track:31s3BSh3KbiOcOLURdab8f
137,Colorado,Denver,40 Miles from Denver,Yonder Mountain String Band,spotify:track:66rH0YhjRwi2JUhjRKWqoT
138,Colorado,Denver,Denver,Larry Gatlin & The Gatlin Brothers,spotify:track:27k9n9Krr0GXmuZ70Hn2rE
139,Colorado,Denver,Denver,Willie Nelson,spotify:track:6tUusq5keNmGvTV2cFTwaC
140,Colorado,Denver,From Denver to L.A.,Elton John,spotify:track:3fZMk63tBNdwBl9KKbJe9D
141,Colorado,Denver,Get Out of Denver,Bob Seger,spotify:track:0e9YaZqnRi3QYSMUIdcarE
142,Colorado,Denver,O.D.'d in Denver,Hank Williams Jr.,spotify:track:7MJe06aTq57id8qtb1s2du
143,Colorado,Denver,Things to Do in Denver When You're Dead,Warren Zevon,spotify:track:61LD6AsNwjp5KtgeunWRVp
144,Iowa,Des Moines,"Des Moines, Iowa",The Milk Carton Kids,spotify:track:3RvPoMgnukUcOVVLbFQINp
145,Georgia,Doraville,Doraville,Atlanta Rhythm Section,spotify:track:7bzo4nqa4nDzwpnkDcigbt
146,Texas,El Paso,All The Way Down To El Paso,Elton John,spotify:track:0AAKvxkoLPYRr9vYDhOfxn
147,Texas,El Paso,El Paso,The Gourds,spotify:track:0sUmBMA7fs6PjhNZlIAuL1
148,Texas,El Paso,El Paso,Marty Robbins,spotify:track:4f8hBeMXMvssn6HtFAtblo
149,Texas,El Paso,El Paso,Old 97's,spotify:track:1ibplmpfwz0z0YGXteyPhK
150,Texas,El Paso,El Paso,Taking Back Sunday,spotify:track:7DqenBmkIHECkplDnfgwpO
151,Texas,El Paso,El Paso City,Marty Robbins,spotify:track:4CIaUS9qVxS6RsQBnC37EU
152,Texas,El Paso,Feleena (From El Paso),Marty Robbins,spotify:track:2jqx9Oq9ZErm5ywDblnvHi
153,Texas,El Paso,Texas Women,Hank Williams Jr.,spotify:track:7Iw4vc4pr9QbX6dbcouYPY
154,Oregon,Eugene,Eugene,Sufjan Stevens,spotify:track:161iDrAGFqkzeXSaxworBs
155,Oregon,Eugene,"Eugene, Oregon",Dolly Parton,spotify:track:1ajtsjAhOHBQwxkbamy2Ty
156,Michigan,Flint,Flint (For the Unemployed and Underpaid),Sufjan Stevens,spotify:track:4oWTPL6ihHK1JNwDcJ94z4
157,Florida,Fort Lauderdale,Fort Lauderdale Chamber of Commerce,Elvis Presley,spotify:track:2Mp8l8gam0wRVnbZQDHLg5
158,Florida,Fort Lauderdale,All Signs Point to Lauderdale,A Day to Remember,spotify:track:15qf0H31MChhqKr2zvejla
159,Texas,Fort Worth,Dallas Days and Fort Worth Nights,Chris LeDoux,spotify:track:4SHDceuWcvcq8eAze9zfQV
160,Texas,Fort Worth,Does Fort Worth Ever Cross Your Mind,George Strait,spotify:track:5CwZU4BVFX0dyqG1gKfHHr
161,Florida,Gainesville,City of Gainesville,Less Than Jake,spotify:track:3kjKE5qMHv79J8TYKYwLiK
162,Florida,Gainesville,Gainesville,Tom Petty,spotify:track:3zrFI5zwOOrW2QURRPJeh8
163,Florida,Gainesville,Gainesville Rock City,Less Than Jake,spotify:track:715BWutkWTksYf1pHAUYGp
164,Texas,Galveston,Darling I Need You,John Cale,spotify:track:7Bj6y66Vu8a9RUUn5R9w2S
165,Texas,Galveston,Galveston,Jimmy Webb,spotify:track:123AbRkgDfAW6snTJ39RgM
166,Texas,Galveston,Pecos Promenade,Tanya Tucker,spotify:track:3HpYLawc8BRy6WYttM8c6Q
167,California,Garden Grove,Garden Grove,"Sublime, covered  Camper Van Beethoven",spotify:track:5tFpkuwgFZQm3jv4PTX4VB
168,California,Garden Grove,Home Again Garden Grove,The Mountain Goats,spotify:track:7ePQe8bp9T43tQ57k6MISd
169,Indiana,Gary,2300 Jackson Street  The Jacksons,,spotify:track:0D9nwHBjQMkkRU2sVnkSKU
170,Indiana,Gary,"Gary, Indiana",from The Music Man,spotify:track:78tkNWoW2o2mJbTPLofZ9y
171,North Carolina,Greensboro,88 Seconds in Greensboro,Orchestral Manoeuvres in the Dark,spotify:track:3h8dVtvsLgJp8PvJcPEpOw
172,New Jersey,Hackensack,Hackensack,Fountains of Wayne,spotify:track:11PUdjgVfGEZLG9zs9UeTp
173,Michigan,Holland,Holland,Sufjan Stevens,spotify:track:3pujvaVvZRu8VO5LZvxAXq
174,Hawaii,Honolulu,Honolulu City Lights,Keola Beamer and Kapono Beamer,spotify:track:7p7wUyiSlKhbBj6a4W5JQJ
175,Hawaii,Honolulu,Honolulu Lulu,Jan and Dean,spotify:track:5stfCnP5f0oXkCUYRLGMI8
176,Illinois,Highland,"Concerning the UFO Sighting near Highland, Illinois",Sufjan Stevens,spotify:track:2Swpr4UiCfYUl1wbxrduBs
177,Texas,Houston,Bloody Mary Morning,Willie Nelson,spotify:track:5paRS95sOPkOVQlmUIUF4B
178,Texas,Houston,Dixie On My Mind,Hank Williams Jr.,spotify:track:2IHWabwhSEdpB5XEhaz9zx
179,Texas,Houston,Dracula From Houston,Butthole Surfers,spotify:track:4KJKj7GZLzxq1bXRu0XP6l
180,Texas,Houston,Houston,R.E.M.,spotify:track:5L1BH2YPxvDY2zDHjY5bJ9
181,Texas,Houston,Houston,Lee Hazlewood,spotify:track:2t2x5pZ6P6zQJffHueY0zm
182,Texas,Houston,Houston,Soul Coughing,spotify:track:4mBOvyGHkpb8ss1TMIN6IK
183,Texas,Houston,Houston (Means I'm One Day Closer to You),Larry Gatlin & The Gatlin Brothers,spotify:track:5rTzROLwNJMABN7pp6YMQq
184,Texas,Houston,Houston,Dean Martin,spotify:track:4CKqqKUKsjNTTNF3veSiWi
185,Texas,Houston,Houston Heights,Blue October,spotify:track:4OiaI39V24dqOkfKWPWNWY
186,Texas,Houston,Midnight Special,Lead Belly,spotify:track:2WaxBL2VVPUHqtfQE1yLbF
187,Texas,Houston,Houston Town'  Buddy Ace,,error
188,Texas,Houston,Telephone Road,Rodney Crowell,spotify:track:3YiWmnGPzosGgx33XnKZC1
189,Texas,Houston,Telephone Road,Steve Earle,spotify:track:1rjvVnu5bMrKKGKLTJOYrJ
190,Texas,Houston,Uneasy Rider '88,the Charlie Daniels Band,spotify:track:59yEymxln8Hyuz8XNkUTIX
191,Texas,Houston,Welcome 2 Houston,Slim Thug and The Texas All Stars,spotify:track:2RPRHTcZoWLtFY3xJ00CYQ
192,Texas,Houston,Welcome to H-Town,Lecrae ft. Dre Murray,spotify:track:32pi4R434sfXcicxJN4Jsa
193,Texas,Houston,Won't Let You Down Texas,Chamillionaire,spotify:track:3Yd8ejd801K1suN0jT8DO1
194,Indiana,Indianapolis,Indianapolis,Menudo,spotify:track:4pRlsUjy1UnGl0ggBb87jq
195,Indiana,Indianapolis,Mary Jane's Last Dance,Tom Petty,spotify:track:3dmqIB2Qxe2XZobw9gXxJ6
196,Mississippi,Jackson,Jackson Mississippi,Kid Rock,spotify:track:4SXMRJugy8ifYJdoS9cXGg
197,Mississippi,Jackson,Jackson,"Johnny Cash & June Carter, Nancy Sinatra & Lee Hazlewood",spotify:track:5fcxVCOtfesNzI2n4Y4kiJ
198,Mississippi,Jackson,Jackson Ain't a Very Big Town,Norma Jean,spotify:track:1lSQAqjtsZDxHeqfb0lzEN
199,Florida,Jacksonville,Indigo Flow,Limp Bizkit,spotify:track:1XkTsmGEThbTQRQpB5byLU
200,Florida,Jacksonville,Ocean Avenue,Yellowcard,spotify:track:23oxJmDc1V9uLUSmN2LIvx
201,Florida,Jacksonville,The South's Gonna Do It,The Charlie Daniels Band,spotify:track:7HRqpMkcCVVhmKme8bScvl
202,Illinois,Jacksonville,Jacksonville,Sufjan Stevens,spotify:track:1ZHLEKW4rXRaDJESAX7CR8
203,North Carolina,Jacksonville,Jacksonville Skyline,Whiskeytown,spotify:track:3OYH2OCLzjGm9kyyTHB2ZX
204,Alaska,Juneau,Juneau,Port Blue,spotify:track:6GZRgyUAO1QbqEmMxH1WsH
205,Alaska,Juneau,Juneau,Funeral for a Friend,spotify:track:6GZRgyUAO1QbqEmMxH1WsH
206,Michigan,Kalamazoo,I've Got A Gal In Kalamazoo,the Glenn Miller Orchestra,spotify:track:1sCHUdWaR3dMGXM70ISUzm
207,Michigan,Kalamazoo,Gotta Get Away,The Black Keys,spotify:track:0zo4T5c5VV42554ySEc5J6
208,Michigan,Kalamazoo,Kalamazoo,Primus,spotify:track:0n3qQAR9kYNLDHV06vO3dD
209,Missouri,Kansas City,18th Avenue (Kansas City Nightmare),Cat Stevens,spotify:track:3csz2AsrqHwPRsFulsVfwx
210,Missouri,Kansas City,Blues from Kansas City,Jay McShann,spotify:track:40akG3NM0dfLmL5rWEQepG
211,Missouri,Kansas City,K.C. Blues,Charlie Parker,spotify:track:3Of3Dsw2VJTPZfC4mjVJk3
212,Missouri,Kansas City,Kansas City,Okkervil River,spotify:track:3FogLCtqS2ryHNQNAKsDkC
213,Missouri,Kansas City,Kansas City,The New Basement Tapes,spotify:track:2JTBNz8VZx7i38pcPROWuz
214,Missouri,Kansas City,Kansas City,", from the musical Oklahoma!",spotify:track:3xHn53QjxQ6SPTcRysc60B
215,Missouri,Kansas City,Kansas City,", performed  Wilbert Harrison",spotify:track:6gyQLLvvwNl3Ksxj0jgz6S
216,Missouri,Kansas City,Kansas City,Sneaky Sound System,spotify:track:7GpPm7pd4x52tLWSvh9hAD
217,Missouri,Kansas City,Kansas City Bomber,Phil Ochs,spotify:track:1mUkqg65AjCm9ec8qboMKf
218,Missouri,Kansas City,Kansas City Kitty,Walter Donaldson,spotify:track:0DxoSmG7IKe1BV3o3NWV6L
219,Missouri,Kansas City,Kansas City Lights,Steve Wariner,spotify:track:66B7UpDHrmATNnncoCsdy1
220,Missouri,Kansas City,Kansas City Shuffle,J. Ralph,spotify:track:6MABJsi6YoLLAahvAd8wXE
221,Missouri,Kansas City,Kansas City Shuffle (Intro),Tech N9ne,spotify:track:6MABJsi6YoLLAahvAd8wXE
222,Missouri,Kansas City,Kansas City Star,Roger Miller,spotify:track:2kZC657jw0F5qWvdqS4fTU
223,Missouri,Kansas City,Kansas Rock City,Kiss,spotify:track:0DEdJCVjbY8FlvxPRv4z7l
224,Missouri,Kansas City,Liberty Street,The New Basement Tapes,spotify:track:6Ks0I9aDwiXmhCN1uK6Bfr
225,Missouri,Kansas City,Six Months in Kansas City (Liberty Street),The New Basement Tapes,spotify:track:4ZnnMMW8YhCDix2M5IhPiM
226,Missouri,Kansas City,Train from Kansas City,Neko Case,spotify:track:3ICHseyibemieGb9NxUVOZ
227,Missouri,Kansas City,The Kansas City Song,Buck Owens,spotify:track:17cpI0fNTBRMKwO1Wt3VNT
228,Ohio,Kent,Ohio,"Cros, Stills, Nash, & Young",spotify:track:0ToHhkK4qtwEyKOxhQpMbJ
229,Tennessee,Knoxville,Knoxville Girl,Nick Cave,spotify:track:38MJ0yDUAIfIDWj7AtnQ5l
230,Tennessee,Knoxville,Knoxville Courthouse,Hank Williams Jr.,spotify:track:0RJRuXJiiYMnUPhtxgZRAV
231,Texas,La Grange,La Grange,ZZ Top,spotify:track:70YvYr2hGlS01bKRIho1HM
232,Wyoming,Laramie,Lady from Laramie,Burl Ives,spotify:track:6le1hIar4ZBTJRdRvgaFP7
233,Wyoming,Laramie,Laramie,Cymbals Eat Guitars,spotify:track:5rBCWxwvM46LlF5zGkCeLU
234,Wyoming,Laramie,Laramie,Geoff Love,spotify:track:17VzRfFaQdeGQeSt5IxGsW
235,Wyoming,Laramie,Laramie,Glenn Mercer,spotify:track:73Fvp58USoCZtFRQV9b032
236,Wyoming,Laramie,"Laramie, Wyoming",Richmond Fontaine,spotify:track:2vFVU10TAOkm74PRdAhWhV
237,Wyoming,Laramie,Lights of Laramie,Ian Tyson,spotify:track:2169Zqz7qrstuQBqLdAVc6
238,Wyoming,Laramie,The Man From Laramie,Al Martino,spotify:track:5rEwH2jxFKHFhdtMto59JT
